日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260531,8995,誠建設工業,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20260531,8996,ハウスフリーダム,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20260531,8999,グランディハウス,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20260531,9001,東武鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9003,相鉄ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9005,東急,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9006,京浜急行電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9007,小田急電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9008,京王電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9009,京成電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9010,富士急行,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20260531,9012,秩父鉄道,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9017,新潟交通,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9020,東日本旅客鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,2,TOPIX Large70
20260531,9021,西日本旅客鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,2,TOPIX Large70
20260531,9022,東海旅客鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,2,TOPIX Large70
20260531,9023,東京地下鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9024,西武ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9025,鴻池運輸,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20260531,9028,ゼロ,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9029,ヒガシホールディングス,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9031,西日本鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9033,広島電鉄,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9034,南総通運,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9036,東部ネットワーク,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9037,ハマキョウレックス,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20260531,9039,サカイ引越センター,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20260531,9041,近鉄グループホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9042,阪急阪神ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9044,ＮＡＮＫＡＩ,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9045,京阪ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9046,神戸電鉄,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20260531,9048,名古屋鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9049,京福電気鉄道,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9051,センコン物流,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9052,山陽電気鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20260531,9057,遠州トラック,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9059,カンダホールディングス,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9060,日本ロジテム,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9063,岡山県貨物運送,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9064,ヤマトホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9065,山九,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9067,丸運,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9068,丸全昭和運輸,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20260531,9069,センコーグループホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9072,ニッコンホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9073,京極運輸商事,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9074,日本石油輸送,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9075,福山通運,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20260531,9076,セイノーホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9081,神奈川中央交通,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20260531,9082,大和自動車交通,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9083,神姫バス,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9087,タカセ,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9090,ＡＺ－ＣＯＭ丸和ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20260531,9101,日本郵船,プライム（内国株式）,5100,海運業,12,運輸・物流,2,TOPIX Large70
20260531,9104,商船三井,プライム（内国株式）,5100,海運業,12,運輸・物流,2,TOPIX Large70
20260531,9107,川崎汽船,プライム（内国株式）,5100,海運業,12,運輸・物流,4,TOPIX Mid400
20260531,9110,ＮＳユナイテッド海運,プライム（内国株式）,5100,海運業,12,運輸・物流,6,TOPIX Small 1
20260531,9115,明海グループ,スタンダード（内国株式）,5100,海運業,12,運輸・物流,-,-
20260531,9119,飯野海運,プライム（内国株式）,5100,海運業,12,運輸・物流,6,TOPIX Small 1
20260531,9127,玉井商船,スタンダード（内国株式）,5100,海運業,12,運輸・物流,-,-
20260531,9130,共栄タンカー,スタンダード（内国株式）,5100,海運業,12,運輸・物流,-,-
